#eta  dep  379415-380237  380005-380305  380306-380465  380466-380859  380860-380962  380963-381150  381151-381383  381384-381983  381984-382593  382594-382768  382769-382936  382937-383322  383323-383484  383485-383691  383692-383810
-29   1    0.844887       0.857073       0.869913       0.883038       0.653231       0.657481       0.665635       0.676791       0.688962       0.699941       0.710739       0.722808       0.735462       0.74707        0.757798
-29   2    0.844785       0.85697        0.869808       0.882932       0.653189       0.657438       0.665592       0.676747       0.688917       0.699896       0.710693       0.722761       0.735415       0.747021       0.757749
-29   3    0.894964       0.907873       0.921474       0.935377       0.691989       0.696491       0.705129       0.716947       0.72984        0.74147        0.752909       0.765693       0.779099       0.791395       0.80276
-28   1    0.810503       0.818191       0.826259       0.834469       0.611854       0.614481       0.619504       0.626343       0.633767       0.640423       0.646942       0.654189       0.661745       0.66864        0.674986
-28   2    0.810471       0.81816        0.826227       0.834437       0.611854       0.614481       0.619504       0.626343       0.633767       0.640423       0.646942       0.654189       0.661745       0.66864        0.674986
-28   3    0.984827       0.991567       0.998616       1.00577        0.940384       0.943289       0.948844       0.956376       0.964509       0.971785       0.978877       0.986737       0.994893       1.00231        1.00911
-28   4    0.984886       0.991626       0.998676       1.00583        0.940421       0.943327       0.948882       0.956407       0.964547       0.971824       0.978916       0.986776       0.994933       1.00235        1.00915
-28   5    0.984819       0.991558       0.998607       1.00576        0.940369       0.943274       0.948829       0.956361       0.964493       0.971769       0.978861       0.986721       0.994877       1.0023         1.00909
-28   6    0.99659        1.00341        1.01054        1.01778        0.951642       0.954582       0.960204       0.967818       0.976056       0.983419       0.990596       0.99855        1.0068         1.01431        1.02119
-28   7    0.996668       1.00349        1.01062        1.01786        0.951704       0.954644       0.960266       0.967889       0.976119       0.983483       0.99066        0.998615       1.00687        1.01438        1.02126
-27   1    0.951412       0.960723       0.970489       0.980428       0.865142       0.868964       0.876277       0.886228       0.897026       0.906709       0.916185       0.926714       0.937691       0.947711       0.956918
-27   2    0.951098       0.960406       0.970169       0.980105       0.864945       0.868767       0.876078       0.886034       0.896823       0.906503       0.915976       0.926503       0.937478       0.947496       0.956701
-27   3    0.974852       0.978397       0.982095       0.985838       0.945515       0.947073       0.950035       0.954039       0.958352       0.962193       0.965929       0.970054       0.974316       0.978173       0.981703
-27   4    0.974861       0.978406       0.982104       0.985847       0.945498       0.947057       0.950019       0.954022       0.958336       0.962176       0.965913       0.970037       0.974299       0.978156       0.981686
-27   5    0.974738       0.978283       0.98198        0.985723       0.945458       0.947016       0.949978       0.953981       0.958295       0.962135       0.965871       0.969995       0.974257       0.978114       0.981644
-27   6    0.984713       0.988294       0.99203        0.99581        0.955153       0.956727       0.95972        0.963764       0.968122       0.972001       0.975776       0.979942       0.984248       0.988145       0.991711
-27   7    0.984803       0.988384       0.99212        0.995901       0.95517        0.956744       0.959736       0.963781       0.968139       0.972018       0.975793       0.979959       0.984265       0.988162       0.991728
-26   1    0.960325       0.967733       0.975488       0.983357       0.89482        0.897933       0.903883       0.911971       0.920722       0.928549       0.93619        0.944665       0.953476       0.961497       0.968855
-26   2    0.960183       0.96759        0.975343       0.983211       0.894679       0.897799       0.903748       0.911835       0.920585       0.928411       0.936051       0.944525       0.953334       0.961353       0.96871
-26   3    0.978398       0.980766       0.983225       0.985713       0.956097       0.957145       0.959133       0.96182        0.964713       0.967283       0.969782       0.972531       0.975371       0.977941       0.980287
-26   4    0.978489       0.980856       0.983316       0.985804       0.956183       0.957231       0.959219       0.961906       0.964799       0.96737        0.969869       0.972619       0.975458       0.978029       0.980375
-26   5    0.978453       0.98082        0.98328        0.985768       0.956148       0.957196       0.959185       0.961872       0.964765       0.967335       0.969834       0.972584       0.975423       0.977994       0.98034
-26   6    0.984232       0.986614       0.989088       0.991591       0.961843       0.962897       0.964897       0.9676         0.97051        0.973096       0.97561        0.978376       0.981232       0.983818       0.986179
-26   7    0.984333       0.986715       0.989189       0.991692       0.961921       0.962975       0.964975       0.967679       0.970589       0.973175       0.975689       0.978455       0.981312       0.983898       0.986259
-25   1    0.962534       0.968402       0.974525       0.980733       0.908541       0.911046       0.915812       0.922285       0.929267       0.935505       0.941587       0.948318       0.9553         0.96164        0.967447
-25   2    0.962591       0.96846        0.974583       0.980791       0.908704       0.911202       0.915977       0.922451       0.929434       0.935674       0.941756       0.948489       0.955472       0.961813       0.967621
-25   3    0.973185       0.974753       0.976396       0.978039       0.95524        0.955933       0.957262       0.959056       0.960987       0.962699       0.964356       0.966178       0.968063       0.969766       0.971323
-25   4    0.973303       0.974872       0.976515       0.978157       0.955301       0.955994       0.957323       0.959117       0.961048       0.96276        0.964418       0.966239       0.968124       0.969828       0.971385
-25   5    0.973113       0.974681       0.976323       0.977966       0.955101       0.955793       0.957123       0.958916       0.960847       0.962559       0.964216       0.966037       0.967922       0.969624       0.971181
-25   6    0.980525       0.982105       0.98376        0.985415       0.962313       0.96301        0.964349       0.966157       0.968102       0.969826       0.971496       0.973331       0.97523        0.976945       0.978514
-24   1    0.955948       0.960226       0.964685       0.969206       0.911568       0.913412       0.916929       0.921689       0.926815       0.93138        0.935831       0.940737       0.945822       0.950435       0.954651
-24   2    0.955666       0.959943       0.964401       0.96892        0.911405       0.913249       0.916765       0.921525       0.926649       0.931213       0.935664       0.940569       0.945653       0.950266       0.95448
-24   3    0.986938       0.988133       0.989375       0.990617       0.975424       0.975951       0.976966       0.978339       0.979805       0.981103       0.982372       0.983754       0.985192       0.98649        0.987665
-24   4    0.986995       0.988189       0.989422       0.990674       0.975452       0.975978       0.976994       0.978366       0.979833       0.98113        0.9824         0.983782       0.98522        0.986518       0.987693
-24   5    0.986985       0.98818        0.989412       0.990664       0.97536        0.975887       0.976902       0.978274       0.979741       0.981038       0.982307       0.983689       0.985128       0.986425       0.9876
-24   6    0.990772       0.991971       0.993209       0.994465       0.979208       0.979736       0.980756       0.982134       0.983606       0.984909       0.986183       0.98757        0.989014       0.990317       0.991496
-23   1    0.959012       0.962518       0.966166       0.969858       0.922193       0.923718       0.926617       0.930539       0.93477        0.938532       0.942185       0.946216       0.950397       0.954176       0.957628
-23   2    0.958801       0.962306       0.965953       0.969643       0.922139       0.923664       0.926563       0.930484       0.934715       0.938469       0.94213        0.94616        0.950341       0.95412        0.957572
-23   3    0.987489       0.98828        0.98911        0.989939       0.978025       0.978378       0.979054       0.979968       0.980949       0.981816       0.982654       0.983578       0.984541       0.985398       0.986188
-23   4    0.98767        0.988461       0.989291       0.990121       0.978128       0.97848        0.979157       0.980071       0.981052       0.981919       0.982757       0.983682       0.984644       0.985501       0.986292
-23   5    0.987537       0.988328       0.989157       0.989987       0.977997       0.97835        0.979026       0.97994        0.980921       0.981788       0.982626       0.98355        0.984512       0.98537        0.98616
-23   6    0.990844       0.991637       0.99247        0.993302       0.981222       0.981575       0.982254       0.983171       0.984156       0.985025       0.985866       0.986793       0.987758       0.988618       0.989412
-22   1    0.962156       0.964889       0.967729       0.970606       0.931003       0.932199       0.934472       0.937553       0.940859       0.943802       0.94666        0.94981        0.953064       0.956016       0.958702
-22   2    0.962415       0.965149       0.96799        0.970868       0.931083       0.93228        0.934552       0.937634       0.940939       0.943883       0.946741       0.949892       0.953146       0.956098       0.958784
-22   3    0.993542       0.994338       0.995163       0.996008       0.987014       0.98737        0.988053       0.988976       0.989967       0.990842       0.991689       0.992631       0.993593       0.994459       0.995258
-22   4    0.993628       0.994425       0.99525        0.996095       0.987014       0.98737        0.988053       0.988976       0.989967       0.990842       0.991689       0.992631       0.993593       0.994459       0.995258
-22   5    0.993735       0.994531       0.995357       0.996202       0.987156       0.987512       0.988195       0.989119       0.99011        0.990985       0.991832       0.992775       0.993737       0.994603       0.995401
-22   6    0.996794       0.997593       0.998422       0.999269       0.990233       0.99059        0.991276       0.992202       0.993196       0.994074       0.994924       0.995869       0.996834       0.997703       0.998504
-21   1    0.965152       0.967104       0.969139       0.971192       0.94084        0.9417         0.943341       0.945558       0.947935       0.950054       0.952103       0.954364       0.956696       0.958807       0.960731
-21   2    0.965108       0.96706        0.969095       0.971148       0.940907       0.941767       0.943408       0.945625       0.948002       0.950122       0.95217        0.954432       0.956764       0.958875       0.9608
-21   3    0.992199       0.9926         0.993012       0.993423       0.98587        0.986055       0.986395       0.986851       0.987347       0.987784       0.988201       0.988667       0.989143       0.98958        0.989969
-21   4    0.992044       0.992445       0.992856       0.993267       0.985794       0.985978       0.986318       0.986775       0.98727        0.987707       0.988124       0.98859        0.989066       0.989503       0.989892
-21   5    0.992092       0.992494       0.992905       0.993316       0.985985       0.98617        0.98651        0.986966       0.987462       0.987899       0.988316       0.988782       0.989258       0.989695       0.990084
-21   6    0.993931       0.994333       0.994745       0.995156       0.987722       0.987907       0.988247       0.988704       0.989201       0.989638       0.990057       0.990524       0.991          0.991438       0.991827
-20   1    0.974282       0.97586        0.977494       0.979156       0.957758       0.958461       0.959793       0.9616         0.963534       0.96525        0.966911       0.968745       0.970643       0.97235        0.97391
-20   2    0.974145       0.975723       0.977357       0.979019       0.957627       0.95833        0.959662       0.961468       0.963403       0.965118       0.966779       0.968613       0.97051        0.972217       0.973777
-20   3    0.999822       1.00022        1.00063        1.00106        0.996992       0.997169       0.997513       0.997975       0.998476       0.998919       0.999341       0.999813       1.00029        1.00074        1.00113
-20   4    0.999862       1.00026        1.00067        1.0011         0.997041       0.997218       0.997562       0.998024       0.998526       0.998968       0.999391       0.999862       1.00034        1.00079        1.00118
-20   5    0.999724       1.00012        1.00053        1.00096        0.997022       0.997199       0.997543       0.998005       0.998506       0.998948       0.999371       0.999843       1.00032        1.00077        1.00116
-20   6    1.00042        1.00082        1.00123        1.00166        0.997649       0.997826       0.998171       0.998633       0.999134       0.999577       1              1.00047        1.00095        1.0014         1.00179
-19   1    0.977095       0.978276       0.979505       0.980752       0.962615       0.963143       0.964144       0.965497       0.966952       0.96824        0.969491       0.970872       0.97229        0.973578       0.974746
-19   2    0.976957       0.978138       0.979366       0.980613       0.962686       0.963215       0.964216       0.965569       0.967024       0.968312       0.969563       0.970944       0.972362       0.973651       0.974818
-19   3    0.99168        0.99168        0.99168        0.99168        0.986675       0.986675       0.986675       0.986675       0.986675       0.986675       0.986675       0.986675       0.986675       0.986675       0.986675
-19   4    0.99171        0.99171        0.99171        0.99171        0.986792       0.986792       0.986792       0.986792       0.986792       0.986792       0.986792       0.986792       0.986792       0.986792       0.986792
-19   5    0.991827       0.991827       0.991827       0.991827       0.986908       0.986908       0.986908       0.986908       0.986908       0.986908       0.986908       0.986908       0.986908       0.986908       0.986908
-19   6    0.993396       0.993396       0.993396       0.993396       0.988364       0.988364       0.988364       0.988364       0.988364       0.988364       0.988364       0.988364       0.988364       0.988364       0.988364
-18   1    1.00788        1.0087         1.00954        1.01039        1.0013         1.00166        1.00236        1.0033         1.0043         1.00519        1.00606        1.00701        1.00799        1.00888        1.00968
-18   2    1.00807        1.00888        1.00973        1.01058        1.00116        1.00152        1.00222        1.00315        1.00415        1.00504        1.00591        1.00686        1.00784        1.00873        1.00953
-18   3    0.998986       0.998986       0.998986       0.998986       0.995945       0.995945       0.995945       0.995945       0.995945       0.995945       0.995945       0.995945       0.995945       0.995945       0.995945
