#eta  dep  383811-384051  384052-384237  384238-384444  384445-384949  384950-385152  385153-385382  385383-385531  385532-385835  385836-385985  385986-386477  386478-386628  386629-386851  386852-388487
-29   1    0.774856       0.788733       0.803856       0.820323       0.836954       0.853941       0.8709         0.88821        0.902322       0.913595       0.926877       0.941592       0.956238
-29   2    0.76997        0.78376        0.798787       0.81515        0.831677       0.848556       0.865408       0.882609       0.896631       0.907834       0.921032       0.935655       0.950208
-29   3    0.815707       0.830316       0.846236       0.863571       0.881079       0.898962       0.916815       0.935037       0.949893       0.96176        0.975743       0.991234       1.00665
-28   1    0.682181       0.690253       0.699          0.70846        0.717963       0.727601       0.737165       0.746869       0.754735       0.760992       0.768332       0.776427       0.784443
-28   2    0.682181       0.690253       0.699          0.70846        0.717963       0.727601       0.737165       0.746869       0.754735       0.760992       0.768332       0.776427       0.784443
-28   3    1.01679        1.02538        1.03464        1.04462        1.05458        1.06464        1.07458        1.0846         1.0927         1.09911        1.10661        1.11485        1.12299
-28   4    1.01683        1.02542        1.03468        1.04466        1.05462        1.06468        1.07462        1.08464        1.09274        1.09915        1.10665        1.1149         1.12303
-28   5    1.01678        1.02537        1.03463        1.0446         1.05456        1.06462        1.07456        1.08458        1.09268        1.09909        1.10659        1.11484        1.12297
-28   6    1.02897        1.03766        1.04703        1.05712        1.06721        1.07738        1.08744        1.09758        1.10578        1.11227        1.11986        1.1282         1.13643
-28   7    1.02903        1.03772        1.0471         1.05719        1.06728        1.07745        1.08751        1.09765        1.10585        1.11234        1.11993        1.12827        1.13651
-27   1    0.967358       0.979065       0.99175        1.00547        1.01923        1.03318        1.04701        1.06104        1.07241        1.08145        1.09204        1.10372        1.11529
-27   2    0.967138       0.978843       0.991525       1.00524        1.019          1.03294        1.04678        1.0608         1.07217        1.0812         1.0918         1.10347        1.11503
-27   3    0.985673       0.990098       0.994851       0.999948       1.00501        1.01011        1.01511        1.02015        1.02419        1.02739        1.03112        1.0352         1.03921
-27   4    0.985656       0.990081       0.994834       0.999931       1.00499        1.01009        1.01509        1.02013        1.02418        1.02737        1.0311         1.03518        1.03919
-27   5    0.985613       0.990039       0.994791       0.999888       1.00495        1.01005        1.01505        1.02009        1.02413        1.02733        1.03106        1.03514        1.03915
-27   6    0.995721       1.00019        1.00499        1.01014        1.01526        1.02041        1.02546        1.03055        1.03464        1.03786        1.04163        1.04575        1.0498
-27   7    0.995738       1.00021        1.00501        1.01016        1.01527        1.02042        1.02548        1.03057        1.03465        1.03788        1.04165        1.04577        1.04982
-26   1    0.977174       0.986483       0.996537       1.00738        1.01822        1.02919        1.04002        1.05099        1.05984        1.06686        1.07509        1.08413        1.09306
-26   2    0.977028       0.986336       0.996389       1.00723        1.01807        1.02903        1.03987        1.05083        1.05968        1.0667         1.07493        1.08397        1.09289
-26   3    0.982921       0.985849       0.989002       0.99236        0.995701       0.99906        1.00235        1.00565        1.0083         1.01039        1.01283        1.01549        1.01811
-26   4    0.983009       0.985938       0.98909        0.992449       0.99579        0.999149       1.00244        1.00574        1.00839        1.01048        1.01292        1.01559        1.0182
-26   5    0.982973       0.985902       0.989055       0.992414       0.995755       0.999113       1.0024         1.00571        1.00836        1.01044        1.01288        1.01555        1.01816
-26   6    0.988828       0.991774       0.994945       0.998324       1.00168        1.00506        1.00837        1.01169        1.01436        1.01646        1.01891        1.0216         1.02423
-26   7    0.988908       0.991854       0.995026       0.998405       1.00177        1.00515        1.00845        1.01178        1.01444        1.01654        1.01899        1.02168        1.02431
-25   1    0.974006       0.981332       0.98923        0.997722       1.0062         1.01475        1.02318        1.03169        1.03855        1.04399        1.05034        1.05731        1.06418
-25   2    0.974182       0.981509       0.989408       0.997902       1.00638        1.01493        1.02337        1.03188        1.03874        1.04418        1.05052        1.0575         1.06437
-25   3    0.973071       0.975002       0.977087       0.9793         0.981504       0.983717       0.985875       0.988043       0.989782       0.991157       0.992751       0.9945         0.996212
-25   4    0.973133       0.975064       0.97715        0.979363       0.981567       0.98378        0.985938       0.988106       0.989845       0.991221       0.992814       0.994563       0.996275
-25   5    0.97293        0.97486        0.976945       0.979158       0.981361       0.983574       0.985732       0.987899       0.989638       0.991013       0.992606       0.994355       0.996066
-25   6    0.980276       0.982221       0.984321       0.986551       0.988771       0.991          0.993174       0.995358       0.99711        0.998495       1.0001         1.00186        1.00359
-24   1    0.959403       0.964699       0.970401       0.976517       0.982609       0.988734       0.994769       1.00084        1.00573        1.00958        1.01409        1.01904        1.0239
-24   2    0.959231       0.964526       0.970228       0.976343       0.982434       0.988557       0.994591       1.00066        1.00555        1.0094         1.01391        1.01886        1.02371
-24   3    0.988991       0.990467       0.992037       0.993729       0.995393       0.997067       0.998703       1.00035        1.00166        1.0027         1.0039         1.00522        1.00652
-24   4    0.989019       0.990495       0.992065       0.993757       0.995421       0.997095       0.998731       1.00038        1.00169        1.00273        1.00393        1.00525        1.00654
-24   5    0.988926       0.990402       0.991972       0.993664       0.995328       0.997001       0.998637       1.00028        1.0016         1.00263        1.00384        1.00515        1.00645
-24   6    0.992827       0.994309       0.995885       0.997584       0.999254       1.00093        1.00258        1.00423        1.00555        1.00659        1.0078         1.00912        1.01042
-23   1    0.961524       0.965856       0.970506       0.9755         0.98046        0.985454       0.990356       0.995291       0.999254       1.00239        1.00604        1.01004        1.01397
-23   2    0.961468       0.965799       0.970449       0.975443       0.980403       0.985396       0.990298       0.995233       0.999196       1.00233        1.00598        1.00998        1.01391
-23   3    0.987065       0.988046       0.989094       0.990208       0.991313       0.992427       0.993513       0.994599       0.995466       0.996152       0.996952       0.997828       0.998676
-23   4    0.987168       0.988149       0.989197       0.990312       0.991417       0.992531       0.993617       0.994703       0.99557        0.996256       0.997056       0.997933       0.998781
-23   5    0.987036       0.988018       0.989065       0.99018        0.991285       0.992399       0.993485       0.994571       0.995438       0.996123       0.996923       0.9978         0.998647
-23   6    0.990291       0.991275       0.992326       0.993444       0.994553       0.995671       0.99676        0.99785        0.998719       0.999408       1.00021        1.00109        1.00194
-22   1    0.961731       0.965097       0.968712       0.972585       0.976433       0.980289       0.984085       0.987889       0.990945       0.993355       0.99617        0.999251       1.00227
-22   2    0.961814       0.96518        0.968795       0.972669       0.976517       0.980373       0.984161       0.987974       0.99103        0.993441       0.996255       0.999337       1.00236
-22   3    0.996143       0.997133       0.998192       0.999317       1.00043        1.00156        1.00265        1.00375        1.00463        1.00532        1.00613        1.007          1.00787
-22   4    0.996143       0.997133       0.998192       0.999317       1.00043        1.00156        1.00265        1.00375        1.00463        1.00532        1.00613        1.007          1.00787
-22   5    0.996286       0.997277       0.998336       0.999461       1.00058        1.0017         1.00279        1.0039         1.00477        1.00546        1.00627        1.00715        1.00801
-22   6    0.999392       1.00039        1.00145        1.00258        1.0037         1.00483        1.00592        1.00703        1.0079         1.0086         1.00941        1.01029        1.01116
-21   1    0.962895       0.965299       0.967879       0.970637       0.973369       0.976109       0.978805       0.981501       0.983674       0.985376       0.987372       0.989544       0.991673
-21   2    0.962964       0.965367       0.967948       0.970706       0.973438       0.976187       0.978874       0.98157        0.983743       0.985446       0.987442       0.989615       0.991743
-21   3    0.990415       0.990901       0.991425       0.991988       0.992542       0.993095       0.993639       0.994173       0.99461        0.99495        0.995348       0.995785       0.996213
-21   4    0.990338       0.990824       0.991348       0.991911       0.992465       0.993018       0.993562       0.994096       0.994533       0.994873       0.995271       0.995708       0.996135
-21   5    0.990531       0.991016       0.991541       0.992104       0.992658       0.993211       0.993755       0.994289       0.994726       0.995066       0.995464       0.995901       0.996329
-21   6    0.992275       0.992761       0.993287       0.993851       0.994406       0.99496        0.995505       0.99604        0.996478       0.996819       0.997217       0.997655       0.998083
-20   1    0.975662       0.977615       0.979696       0.981932       0.98414        0.986357       0.988529       0.99071        0.992453       0.993831       0.995437       0.997189       0.998905
-20   2    0.975529       0.977481       0.979562       0.981797       0.984005       0.986222       0.988394       0.990575       0.992317       0.993695       0.995301       0.997053       0.998768
-20   3    1.00158        1.00207        1.0026         1.00317        1.00373        1.00429        1.00484        1.00539        1.00582        1.00617        1.00657        1.00701        1.00744
-20   4    1.00163        1.00212        1.00265        1.00321        1.00377        1.00434        1.00489        1.00544        1.00587        1.00622        1.00662        1.00706        1.00749
-20   5    1.00161        1.0021         1.00263        1.00319        1.00375        1.00432        1.00487        1.00542        1.00585        1.0062         1.0066         1.00704        1.00747
-20   6    1.00224        1.00273        1.00327        1.00383        1.00439        1.00495        1.0055         1.00605        1.00648        1.00684        1.00723        1.00767        1.0081
-19   1    0.976053       0.977517       0.979074       0.980742       0.982401       0.98406        0.985682       0.987304       0.98861        0.989639       0.990834       0.992132       0.993411
-19   2    0.976125       0.97759        0.979147       0.980815       0.982474       0.984133       0.985755       0.987377       0.988684       0.989712       0.990908       0.992205       0.993494
-19   3    0.986675       0.986675       0.986675       0.986675       0.986675       0.986675       0.986675       0.986675       0.986675       0.986675       0.986675       0.986675       0.986675
-19   4    0.986792       0.986792       0.986792       0.986792       0.986792       0.986792       0.986792       0.986792       0.986792       0.986792       0.986792       0.986792       0.986792
-19   5    0.986908       0.986908       0.986908       0.986908       0.986908       0.986908       0.986908       0.986908       0.986908       0.986908       0.986908       0.986908       0.986908
-19   6    0.988364       0.988364       0.988364       0.988364       0.988364       0.988364       0.988364       0.988364       0.988364       0.988364       0.988364       0.988364       0.988364
-18   1    1.01059        1.01159        1.01267        1.01381        1.01495        1.01609        1.0172         1.01831        1.01921        1.01992        1.02073        1.02163        1.0225
-18   2    1.01044        1.01144        1.01252        1.01367        1.0148         1.01594        1.01705        1.01817        1.01906        1.01977        1.02059        1.02148        1.02236
-18   3    0.995945       0.995945       0.995945       0.995945       0.995945       0.995945       0.995945       0.995945       0.995945       0.995945       0.995945       0.995945       0.995945
-18   4    0.996252       0.996252       0.996252       0.996252       0.996252       0.996252       0.996252       0.996252       0.996252       0.996252       0.996252       0.996252       0.996252
-18   5    0.996133       0.996133       0.996133       0.996133       0.996133       0.996133       0.996133       0.996133       0.996133       0.996133       0.996133       0.996133       0.996133
-17   2    0.988045       0.988529       0.989052       0.989614       0.990167       0.990719       0.991261       0.991814       0.99224        0.992589       0.992986       0.993422       0.993848
-17   3    0.990572       0.990083       0.989561       0.989003       0.988453       0.987903       0.987365       0.986828       0.986397       0.986059       0.985666       0.985237       0.984818
-16   4    1.01927        1.01927        1.01927        1.01927        1.01927        1.01927        1.01927        1.01927        1.01927        1.01927        1.01927        1.01927        1.01927
16    4    0.992632       0.992632       0.992632       0.992632       0.992632       0.992632       0.992632       0.992632       0.992632       0.992632       0.992632       0.992632       0.992632
17    2    1.0275         1.029          1.03062        1.03235        1.03406        1.03578        1.03745        1.03914        1.04049        1.04155        1.04279        1.04414        1.04547
17    3    1.0197         1.0202         1.02074        1.0213         1.02186        1.02242        1.02298        1.02353        1.02397        1.02432        1.02473        1.02517        1.0256
